Name,Chain,Country,Region,Commodity,Number,SGM2010,SGM2013,Quote
Banana in Senegal,1Sen_ban,Senegal,West-Africa,Banana,1,46.25,52.5,
Fonio in Senegal,2Sen_fon,Senegal,West-Africa,Fonio,2,85,71,
Sesam in Senegal,3Sen_ses,Senegal,West-Africa,Sesam,3,56,82,
Sesam in Gambia,4Gam_ses,Gambia,West-Africa,Sesam,4,56,82,
Coffee in Ecuador,5Ecu_cof,Ecuador,Latin-America,Coffee,5,36.5,16.7,
Banana in Ecuador,6Ecu_ban,Ecuador,Latin-America,Banana,6,44,52,
Quinoa in Peru,7Per_qui,Peru,Latin-America,Quinoa,7,64,68,
Vegetables in Ecuador,8Ecu_veg,Ecuador,Latin-America,Vegetables,8,62,75,
Coffee in Peru,9Per_cof,Peru,Latin-America,Coffee,9,26.8,30.1,Koffie brengt maar één keer per jaar geld binnen. Op dit moment weet ik dat ik 40% minder inkomsten zal hebben dit jaar en ook de komende jaren. Want de ziekte Roya maakt alle planten kapot. Ik durf niet rond me te kijken als ik op weg ben naar huis. (Don Bueno)
Vegetables in Honduras,10Hon_veg,Honduras,Latin-America,Vegetables,10,43,53,
Banana in Nicaragua,11Nic_ban,Nicaragua,Latin-America,Banana,11,60,68,
Sugar in Nicaragua,12Nic-sug,Nicaragua,Latin-America,Sugar,12,43,57,Lid worden van de suikercoöperatie was voor mij een grote verandering. Ik hou nu mijn inkomsten en uitgaven bij en weet of ik winst of verlies maak.
Cashew 1 in Honduras,13Hon_cas,Honduras,Latin-America,Cashew,13,50,60,
Cashew 2 in Honduras,14Hon_cas,Honduras,Latin-America,Cashew,14,23,45,
Beans in Nicaragua,15Nic_bea,Nicaragua,Latin-America,Beans,15,48,49,
Banana in Nicaragua,16Nic_ban,Nicaragua,Latin-America,Banana,16,58.5,66.6,
Cassava in Tanzania,17Tan_cas,Tanzania,East-Africa,Cassava,17,41.5,42,
Groundnuts and mais in Uganda,18Uga_gro,Uganda,East-Africa,Groundnuts & mais,18,42.5,72,
Rice in Congo (Bapere),20Con_ric,Congo,East-Africa,Rice,19,45,33.1,Ikzelf en de andere boeren die rijst telen kregen het advies om een nieuw soort zaaigoed te proberen. Maar de opbrengst was heel slecht. Ze zeiden ons achteraf dat de variëteit toch niet geschikt was voor onze gronden. Maar onze velden zijn geen testvelden! We hebben een goeie oogst nodig die we kunnen verkopen. Waarom hebben ze het nieuwe zaaigoed niet eerst eens op kleine schaal getest?
Rice in Congo (Beni-Mbau),21Con_ric,Congo,East-Africa,Rice,20,20,37.7,Ik wou dat ik terug kind kon worden en in m’n nieuw leven meteen alles kon toepassen wat ik nu weet over het telen van rijst. Rijst geeft me geld. Zo kan ik aan mijn soms pijnlijke sociale verplichtingen voldoen. (Meneer Salamboko)
Rice in Indonesia (Java),22Ind_ric,Indonesia,Asia,Rice,21,79,81.7,
Rice in Indonesia (Flores),23Ind_ric,Indonesia,Asia,Rice,22,54.6,58,
Cacao in Indonesia (Flores),24Ind_cac,Indonesia,Asia,Cacao,23,84,81,
Cacao in Indonesia (Sulawesi),25Ind_cac,Indonesia,Asia,Cacao,24,86,92,Ik krijg de afgelopen twee jaar een veel hogere prijs voor mijn cacaobonen. Hoe dat komt? De wereldprijs voor cacao is hoog maar mijn bonen zijn nu ook van een veel betere kwaliteit. Ik verkoop direct aan het verwerkingsbedrijf en niet meer aan handelaars die mijn bonen op het veld komen opkopen. We hebben nu een cacaogroep. We onderhandelen de prijzen samen en kunnen zo betere voorwaarden bedingen. (Iddin)
Coffee in Indonesia (Sulawesi),26Ind_cof,Indonesia,Asia,Coffee,25,90,89.95,Koffie heeft er niet alleen voor gezorgd dat ik m’n familie kan onderhouden maar ook dat twee van m’n kinderen nu op de universiteit zitten. (Dikton)
Coffee in Indonesia (Flores),28Ind_cof,Indonesia,Asia,Coffee,27,94.5,96.5,
Tea in Vietnam,29Vie_tea,Vietnam,Asia,Tea,28,78.8,79.72,Vredeseilanden heeft de theeboeren en boerinnen doen inzien dat samenwerken voordelig is voor zowel henzelf als voor mijn bedrijf. Ze telen nu meer thee en die is van betere kwaliteit. Zij winnen erbij en wij ook. (Mai - directrice van theebedrijf) 
Rice in Vietnam,30Vie_ric,Vietnam,Asia,Rice,29,27.5,60.25,Ik wist eerst niet goed hoe ik een groep moest leiden maar het lukte me. Ik heb onze Ga Gay My Lung coöperatie mee uit de grond gestampt. 134 leden hebben we al. Het gemiddeld inkomen van de boeren is op dit moment 1555 euro/ha. Dat is meer dan een paar jaar geleden. We hebben een eigen rijstmerk en slaagden erin om betere contacten aan te knopen met klanten binnen en buiten de provincie. (Mr. Xuan)
Vegetables in Vietnam (Viet Tri),31Vie_veg,Vietnam,Asia,Vegetables,30,63.4,78.8,
Vegetables in Vietnam (Lang Son),32Vie_veg,Vietnam,Asia,Vegetables,31,35.6,62.1,
Rice in Benin,33Ben_ric,Benin,West-Africa,Rice,32,33.33,38.58,Vorig jaar oogstte ik 0.85 ton rijst van m’n lapje grond van een halve hectare. Als ik m’n rekening maak dan heb ik 102 euro winst gemaakt. Dit jaar nam ik deel aan een vorming van UNIRIZ-C over de kwaliteitsstandaarden van rijst. Ik heb geprobeerd om de richtlijnen van de lesgever zo goed mogelijk te volgen. Het resultaat: ondanks het feit dat er minder regen viel heb ik toch m’n opbrengst kunnen verdubbelen. Zelfs al heb ik aan een lage prijs moeten verkopen dit jaar (150 FCFA) heb ik toch winst kunnen maken (Sylvie Ewinsou)
Maize in Togo,34Tog_mai,Togo,West-Africa,Maize,33,15,56.25,
Niébé in Burkina Faso,35Bur_nie,Burkina Faso,West-Africa,Niébé,34,15,46,Voordien moest ik mijn cowpeas zo snel mogelijk verkopen. Zelfs aan een slechte prijs omdat bewaren zeer moeilijk was. Na heel wat trainingen weet ik nu hoe mijn product te bewaren en gebruik ik speciale zakken. Hierdoor kan ik wachten op gunstige prijzen om te verkopen. Ook mijn productie is er op vooruit gegaan. Andere boeren vragen me vaak welke technieken ik gebruik om zulke rendementen te bekomen. Cowpea geeft me goede inkomsten en mijn leven is verbeterd: zo eten we nu meer gevarieerd en heb ik mijn eigen werktuigen gekocht. En ik er zelfs aan een moto te kopen. (Mamboné Guambila)
Rice in Niger,36Nig_ric,Niger,West-Africa,Rice,35,19,40.43,
Rice in Burkina Faso,38Bur_ric,Burkina Faso,West-Africa,Rice,37,15,32.5,